epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,347.607,0.8912,0.83414,1.08016,0.88144,0.886,0.93134,0.71554,0.81365,0.7555,1.08327,0.0006635,0.0006635,0.0006635
83,351.936,0.85531,0.86689,1.07056,0.88159,0.89228,0.93475,0.71804,0.81855,0.74922,1.08378,0.000647,0.000647,0.000647
84,355.751,0.86405,0.80991,1.06973,0.88159,0.89228,0.93475,0.71804,0.81855,0.74922,1.08378,0.0006305,0.0006305,0.0006305
85,359.69,0.85799,0.85964,1.08824,0.88159,0.89228,0.93475,0.71804,0.81855,0.74922,1.08378,0.000614,0.000614,0.000614
86,364.737,0.85218,0.81214,1.06044,0.88096,0.89688,0.93269,0.71736,0.81432,0.74129,1.08369,0.0005975,0.0005975,0.0005975
87,368.61,0.89932,0.8233,1.06678,0.88096,0.89688,0.93269,0.71736,0.81432,0.74129,1.08369,0.000581,0.000581,0.000581
88,372.367,0.85515,0.80384,1.07269,0.88096,0.89688,0.93269,0.71736,0.81432,0.74129,1.08369,0.0005645,0.0005645,0.0005645
89,377.593,0.88097,0.80968,1.07534,0.88867,0.89048,0.93463,0.71872,0.81476,0.73827,1.07949,0.000548,0.000548,0.000548
90,381.415,0.87403,0.81769,1.06446,0.88867,0.89048,0.93463,0.71872,0.81476,0.73827,1.07949,0.0005315,0.0005315,0.0005315
91,385.225,0.91207,0.83855,1.06542,0.88867,0.89048,0.93463,0.71872,0.81476,0.73827,1.07949,0.000515,0.000515,0.000515
92,390.048,0.86658,0.78104,1.06024,0.88473,0.8851,0.93409,0.72291,0.79676,0.74033,1.06723,0.0004985,0.0004985,0.0004985
93,394.152,0.88769,0.83503,1.07947,0.88473,0.8851,0.93409,0.72291,0.79676,0.74033,1.06723,0.000482,0.000482,0.000482
94,398.028,0.8969,0.79403,1.05346,0.88473,0.8851,0.93409,0.72291,0.79676,0.74033,1.06723,0.0004655,0.0004655,0.0004655
95,402.555,0.90963,0.81932,1.05221,0.88951,0.89615,0.93516,0.72404,0.80149,0.73502,1.06459,0.000449,0.000449,0.000449
96,407.033,0.82982,0.78486,1.05267,0.88951,0.89615,0.93516,0.72404,0.80149,0.73502,1.06459,0.0004325,0.0004325,0.0004325
97,410.794,0.84423,0.77336,1.05004,0.88951,0.89615,0.93516,0.72404,0.80149,0.73502,1.06459,0.000416,0.000416,0.000416
98,414.574,0.85291,0.79262,1.05641,0.8959,0.91159,0.93829,0.72823,0.79812,0.72718,1.06552,0.0003995,0.0003995,0.0003995
99,419.63,0.81666,0.82795,1.07079,0.8959,0.91159,0.93829,0.72823,0.79812,0.72718,1.06552,0.000383,0.000383,0.000383
100,423.415,0.86435,0.79283,1.06407,0.8959,0.91159,0.93829,0.72823,0.79812,0.72718,1.06552,0.0003665,0.0003665,0.0003665
101,427.256,0.8138,0.79572,1.05932,0.88038,0.90844,0.93515,0.72548,0.79743,0.72459,1.06627,0.00035,0.00035,0.00035
102,432.178,0.81947,0.80411,1.05271,0.88038,0.90844,0.93515,0.72548,0.79743,0.72459,1.06627,0.0003335,0.0003335,0.0003335
103,436.152,0.85686,0.78336,1.05002,0.88038,0.90844,0.93515,0.72548,0.79743,0.72459,1.06627,0.000317,0.000317,0.000317
104,439.883,0.81688,0.78262,1.06481,0.86768,0.90934,0.93362,0.72224,0.79893,0.72598,1.06222,0.0003005,0.0003005,0.0003005
105,444.095,0.84556,0.77884,1.05947,0.86768,0.90934,0.93362,0.72224,0.79893,0.72598,1.06222,0.000284,0.000284,0.000284
106,448.641,0.85068,0.7905,1.05654,0.86768,0.90934,0.93362,0.72224,0.79893,0.72598,1.06222,0.0002675,0.0002675,0.0002675
107,452.426,0.82693,0.77363,1.04198,0.87856,0.91023,0.93592,0.72487,0.79222,0.72111,1.06006,0.000251,0.000251,0.000251
108,456.189,0.81832,0.72909,1.04838,0.87856,0.91023,0.93592,0.72487,0.79222,0.72111,1.06006,0.0002345,0.0002345,0.0002345
109,461.437,0.81736,0.80776,1.05071,0.87856,0.91023,0.93592,0.72487,0.79222,0.72111,1.06006,0.000218,0.000218,0.000218
110,465.217,0.81133,0.74762,1.03091,0.88138,0.90709,0.93809,0.72902,0.78138,0.71181,1.05922,0.0002015,0.0002015,0.0002015
111,469.642,0.81234,0.8296,1.05723,0.88138,0.90709,0.93809,0.72902,0.78138,0.71181,1.05922,0.000185,0.000185,0.000185
112,474.8,0.92668,0.98704,1.06442,0.88138,0.90709,0.93809,0.72902,0.78138,0.71181,1.05922,0.0001685,0.0001685,0.0001685
113,478.495,0.83523,0.84618,1.0639,0.88109,0.90036,0.93628,0.72487,0.7922,0.76272,1.05645,0.000152,0.000152,0.000152
114,482.385,0.89455,0.86764,1.07647,0.88109,0.90036,0.93628,0.72487,0.7922,0.76272,1.05645,0.0001355,0.0001355,0.0001355
115,486.85,0.86065,0.86506,1.05124,0.88109,0.90036,0.93628,0.72487,0.7922,0.76272,1.05645,0.000119,0.000119,0.000119
116,491.147,0.78915,0.78285,1.03414,0.88417,0.89048,0.93317,0.72195,0.79866,0.78231,1.05692,0.0001025,0.0001025,0.0001025
117,494.873,0.81958,0.8157,1.05025,0.88417,0.89048,0.93317,0.72195,0.79866,0.78231,1.05692,8.6e-05,8.6e-05,8.6e-05
118,498.701,0.81623,0.8246,1.05614,0.88417,0.89048,0.93317,0.72195,0.79866,0.78231,1.05692,6.95e-05,6.95e-05,6.95e-05
119,503.605,0.81406,0.80847,1.05437,0.87606,0.90754,0.93401,0.72243,0.79645,0.77107,1.05732,5.3e-05,5.3e-05,5.3e-05
120,507.31,0.79721,0.77804,1.07089,0.87606,0.90754,0.93401,0.72243,0.79645,0.77107,1.05732,3.65e-05,3.65e-05,3.65e-05
